深度/m	杨氏模量/Gpa	泊松比	断裂韧性/MPa·m^0.5	水平应力差/Mpa	垂向应力差/Mpa
63.1	15	0.213	0.86	5.8	12.8
63.2	20	0.352	0.25	9.0	19.0
63.3	27	0.342	0.93	5.7	19.4
63.4	38	0.1	0.93	6.2	18.6
63.5	27	0.296	0.86	5.3	13.4
63.6	34	0.134	1.48	8.8	10.3
63.7	10	0.157	0.87	8.7	14.6
63.8	32	0.15	0.77	5.2	11.5
63.9	24	0.399	0.38	7.9	17.1
64.0	21	0.273	1.1	7.0	18.6
64.1	10	0.263	0.99	9.2	13.7
64.2	29	0.228	0.15	8.3	20.0
64.3	26	0.152	1.47	6.9	13.7
64.4	35	0.286	0.11	5.7	18.1
64.5	24	0.284	0.58	9.6	11.4
64.6	16	0.295	0.25	5.7	10.6
64.7	29	0.121	1.31	7.7	16.1
64.8	15	0.102	0.73	5.5	19.7
64.9	33	0.309	0.58	6.8	17.5
65.0	17	0.192	0.42	8.9	13.7
65.1	38	0.212	0.62	5.8	17.1
65.2	29	0.105	1.33	9.0	11.3
65.3	39	0.154	0.92	10.0	11.8
65.4	27	0.24	0.02	6.4	11.5
65.5	28	0.198	1.15	8.0	14.0
65.6	31	0.31	1.27	5.8	14.2
65.7	32	0.339	1.27	7.3	13.2
65.8	37	0.266	0.04	5.5	11.4
65.9	25	0.398	0.61	6.9	17.8
66.0	27	0.218	1.18	9.5	17.7
66.1	32	0.233	1.49	6.6	16.0
66.2	33	0.37	0.44	7.7	19.1
66.3	31	0.366	1.21	6.5	18.1
66.4	30	0.4	0.55	8.2	12.4
66.5	36	0.33	1.27	7.6	10.8
66.6	11	0.296	1.34	6.1	12.7
66.7	35	0.382	1.04	6.9	15.9
66.8	30	0.21	0.58	8.1	15.8
66.9	24	0.264	0.24	9.7	10.5
67.0	35	0.306	0.97	8.9	17.0
67.1	28	0.172	1.12	8.6	18.4
67.2	30	0.211	1.33	8.1	13.9
67.3	37	0.245	0.5	5.1	11.3
67.4	33	0.264	1.09	5.0	15.8
67.5	18	0.392	0.33	9.7	10.8
67.6	40	0.112	0.46	8.8	14.2
67.7	25	0.17	1.22	5.7	12.4
67.8	23	0.209	1.05	5.2	18.1
67.9	39	0.264	0.78	5.7	14.3
68.0	38	0.113	0.31	9.3	13.9
68.1	30	0.246	0.13	7.3	11.5
68.2	13	0.258	1.31	7.3	16.0
68.3	14	0.349	0.65	9.2	11.6
68.4	30	0.352	0.05	5.2	14.6
68.5	38	0.108	0.97	7.1	18.0
68.6	12	0.271	0.9	6.9	19.4
68.7	40	0.147	0.63	6.4	18.5
68.8	17	0.325	0.48	8.5	13.1
68.9	34	0.349	0.31	8.6	13.5
69.0	37	0.321	1.49	6.0	16.9
69.1	33	0.25	0.75	10.0	13.1
69.2	12	0.108	1.19	9.4	12.6
69.3	25	0.365	0.75	7.8	19.1
69.4	22	0.283	0.78	7.3	16.0
69.5	38	0.202	0.21	8.3	13.3
69.6	30	0.231	0.1	9.0	10.8
69.7	28	0.166	0.51	8.0	14.8
69.8	39	0.196	0.37	5.4	13.6
69.9	31	0.193	1.08	8.7	17.8
70.0	27	0.216	0.26	5.7	16.1
70.1	29	0.203	0.02	9.9	13.2
70.2	33	0.212	0.55	7.6	11.3
70.3	22	0.309	0.52	6.8	16.0
70.4	17	0.22	0.69	7.5	15.9
70.5	18	0.374	1.12	8.2	13.0
70.6	27	0.121	1.24	5.5	10.9
70.7	40	0.139	0.25	8.7	18.8
70.8	16	0.135	0.8	5.3	17.3
70.9	29	0.231	1.07	6.0	18.1
71.0	33	0.328	0.33	5.6	16.1
71.1	20	0.293	1.49	8.1	15.0
71.2	24	0.214	0.0	9.0	18.3
71.3	24	0.151	1.1	6.1	19.3
71.4	25	0.309	0.96	10.0	14.4
71.5	15	0.282	0.58	7.8	17.0
71.6	29	0.197	0.4	7.3	16.4
71.7	37	0.185	0.9	8.3	10.0
71.8	30	0.198	0.94	9.9	10.3
71.9	33	0.214	1.38	5.2	11.1
72.0	10	0.157	0.66	7.7	15.8
72.1	40	0.272	0.79	5.4	12.9
72.2	17	0.146	1.49	7.0	13.2
72.3	22	0.338	0.91	7.5	17.5
72.4	28	0.255	0.37	5.5	13.9
72.5	13	0.339	1.49	5.5	17.5
72.6	30	0.247	0.17	10.0	18.5
72.7	35	0.389	0.68	6.1	10.5
72.8	15	0.255	0.55	7.8	12.8
72.9	21	0.238	0.11	9.9	12.6
73.0	25	0.146	1.17	6.5	18.0
73.1	13	0.106	1.33	9.5	17.3
73.2	37	0.267	0.29	7.8	16.6
73.3	26	0.208	1.0	9.9	11.3
73.4	17	0.154	0.2	7.6	18.5
73.5	30	0.376	1.49	9.5	12.1
73.6	40	0.254	1.37	8.0	19.2
73.7	13	0.356	0.49	8.5	11.1
73.8	11	0.286	0.49	6.1	14.4
73.9	37	0.328	0.45	8.9	15.7
74.0	30	0.261	1.36	5.4	10.0
74.1	28	0.196	1.02	5.8	14.9
74.2	27	0.181	0.95	5.0	13.7
74.3	23	0.152	0.39	6.5	16.4
74.4	11	0.347	0.66	8.9	10.2
74.5	18	0.151	0.39	6.3	11.4
74.6	35	0.169	1.23	9.2	15.0
74.7	13	0.365	1.14	8.6	11.1
74.8	10	0.34	0.28	7.8	14.2
74.9	34	0.33	0.78	8.7	19.1
75.0	32	0.284	1.33	8.1	19.1
75.1	22	0.295	1.24	8.4	11.2
75.2	30	0.212	0.78	8.1	17.3
75.3	34	0.259	0.99	8.1	11.6
75.4	38	0.268	1.33	6.1	14.6
75.5	12	0.366	1.13	7.7	15.8
75.6	40	0.156	0.99	6.0	13.9
75.7	25	0.359	0.72	8.6	10.2
75.8	12	0.188	0.61	9.4	17.1
75.9	14	0.356	0.46	5.4	11.1
76.0	33	0.119	0.64	8.1	15.9
76.1	37	0.392	1.15	6.8	16.3
76.2	40	0.338	0.39	9.0	15.4
76.3	17	0.369	0.81	9.9	18.6
76.4	23	0.338	1.4	10.0	18.1
76.5	37	0.322	0.09	7.9	19.8
76.6	11	0.395	0.57	8.7	18.3
76.7	19	0.195	0.96	9.0	13.0
76.8	33	0.225	0.6	7.0	17.4
76.9	26	0.125	0.07	5.6	17.1
77.0	15	0.279	0.7	9.1	19.0
77.1	20	0.191	0.43	8.9	12.0
77.2	16	0.21	0.4	7.5	19.8
77.3	30	0.384	1.39	6.2	14.9
77.4	28	0.105	1.2	9.1	12.1
77.5	36	0.231	0.39	8.7	17.5
77.6	10	0.177	1.41	8.9	11.1
77.7	25	0.11	0.36	9.1	20.0
77.8	17	0.122	0.19	8.8	17.8
77.9	14	0.142	0.36	8.4	11.1
78.0	37	0.384	0.42	9.3	13.7
78.1	31	0.2	0.43	7.1	13.7
78.2	36	0.121	0.46	9.5	10.6
78.3	13	0.292	1.31	8.8	11.6
78.4	32	0.39	0.89	5.0	17.5
78.5	13	0.1	0.5	9.0	17.8
78.6	16	0.114	0.25	5.7	19.0
78.7	40	0.397	1.19	8.3	16.0
78.8	12	0.233	1.27	6.8	12.5
78.9	27	0.184	0.36	8.2	17.3
79.0	34	0.12	0.71	9.8	15.4
79.1	23	0.276	0.39	5.0	19.6
79.2	24	0.254	1.22	7.5	18.0
79.3	13	0.368	0.48	5.1	10.6
79.4	12	0.233	0.8	9.9	10.1
79.5	13	0.175	0.71	6.8	12.8
79.6	16	0.361	1.32	7.5	15.6
79.7	34	0.272	1.48	7.0	10.8
79.8	17	0.2	0.72	6.9	11.6
79.9	29	0.327	1.45	5.8	18.8
80.0	29	0.144	0.3	6.4	19.0
80.1	25	0.374	1.05	5.6	13.4
80.2	26	0.221	0.72	7.0	19.9
80.3	31	0.135	1.27	8.3	16.8
80.4	18	0.381	1.28	7.5	10.4
80.5	35	0.397	1.11	6.8	13.1
80.6	30	0.322	0.83	5.1	17.1
80.7	34	0.163	0.32	7.7	13.5
80.8	37	0.261	0.01	9.8	13.6
80.9	24	0.132	0.65	8.5	15.0
81.0	11	0.259	1.16	7.8	13.5
81.1	36	0.318	0.51	5.6	18.9
81.2	13	0.113	0.2	6.6	11.4
81.3	27	0.17	0.83	8.6	10.6
81.4	16	0.133	1.08	7.2	12.6
81.5	34	0.242	1.13	7.3	15.5
81.6	26	0.279	1.41	8.6	18.9
81.7	15	0.349	0.79	5.2	19.7
81.8	40	0.347	1.45	6.7	15.3
81.9	40	0.142	1.2	7.2	10.7
82.0	26	0.385	0.0	6.0	19.7
82.1	35	0.359	0.48	7.5	19.8
82.2	25	0.309	1.48	9.4	19.5
82.3	12	0.278	0.65	8.3	10.0
82.4	21	0.392	0.52	9.2	15.2
82.5	19	0.26	1.34	6.1	11.9
82.6	35	0.335	0.99	8.0	14.5
82.7	32	0.277	1.38	6.5	10.2
82.8	32	0.392	0.39	5.7	12.4
82.9	34	0.342	0.42	6.0	11.9
83.0	21	0.107	0.58	10.0	17.7
83.1	39	0.173	0.96	9.0	18.7
83.2	31	0.257	0.52	8.3	13.6
83.3	40	0.216	1.05	6.6	14.9
83.4	15	0.295	0.98	9.9	12.6
83.5	11	0.295	1.26	8.4	18.5
83.6	35	0.136	1.09	7.5	11.6
83.7	29	0.292	0.33	6.2	10.5
83.8	10	0.302	1.23	9.3	17.1
83.9	15	0.346	0.01	5.5	11.3
84.0	39	0.396	0.28	5.5	13.9
84.1	38	0.1	0.31	8.9	14.7
84.2	11	0.127	0.16	9.0	18.8
84.3	29	0.203	1.2	7.9	18.4
84.4	11	0.397	1.11	6.9	17.6
84.5	23	0.134	0.46	6.0	12.0
84.6	23	0.374	1.4	7.9	19.7
84.7	10	0.186	0.91	7.5	19.1
84.8	10	0.116	1.27	9.2	16.2
84.9	33	0.122	0.34	5.8	10.5
85.0	20	0.254	0.48	5.3	10.6
85.1	16	0.259	0.29	8.5	15.5
85.2	31	0.195	1.31	8.1	16.6
85.3	21	0.212	0.38	8.2	13.5
85.4	38	0.346	0.13	6.6	16.9
85.5	26	0.16	0.52	7.1	14.7
85.6	37	0.228	0.55	6.3	14.5
85.7	35	0.179	0.26	5.3	16.5
85.8	39	0.186	1.07	7.3	20.0
85.9	38	0.266	0.56	9.3	16.5
86.0	18	0.111	0.29	5.5	10.3
86.1	31	0.358	0.17	9.0	19.6
86.2	28	0.285	1.35	7.7	14.2
86.3	38	0.352	0.47	5.9	16.4
86.4	10	0.332	0.38	7.5	17.0
86.5	29	0.208	1.13	8.4	19.5
86.6	10	0.331	1.14	7.7	12.5
86.7	10	0.279	0.46	6.3	16.5
86.8	23	0.236	0.07	7.1	10.4
86.9	33	0.153	0.07	6.2	19.3
87.0	28	0.249	1.17	9.7	15.4
87.1	29	0.159	1.02	6.4	12.3
87.2	33	0.186	0.5	7.5	19.7
87.3	16	0.211	0.08	5.3	19.5
87.4	39	0.221	0.9	9.9	18.5
87.5	17	0.253	0.44	8.3	13.8
87.6	37	0.198	0.1	7.1	12.6
87.7	12	0.274	0.83	5.4	12.5
87.8	26	0.183	0.83	7.1	10.6
87.9	25	0.267	1.43	5.2	16.6
88.0	40	0.197	0.66	9.5	15.9
88.1	33	0.241	0.86	6.7	10.2
88.2	13	0.237	1.23	7.8	11.4
88.3	32	0.192	1.0	6.1	14.2
88.4	17	0.392	1.2	6.0	14.5
88.5	11	0.137	1.36	9.8	12.0
88.6	32	0.231	0.83	7.9	10.3
88.7	29	0.271	0.44	7.3	15.7
88.8	13	0.203	0.42	9.3	15.5
88.9	12	0.146	1.03	8.8	18.5
89.0	29	0.143	1.39	9.0	18.0
89.1	31	0.342	0.83	6.8	17.8
89.2	27	0.132	1.12	9.8	13.0
89.3	40	0.337	1.37	7.4	15.2
89.4	27	0.243	0.36	7.3	17.2
89.5	23	0.113	0.5	8.9	10.9
89.6	36	0.154	1.48	9.3	16.1
89.7	38	0.156	0.69	8.1	16.9
89.8	10	0.266	0.49	8.0	13.9
89.9	36	0.317	0.18	9.2	14.2
90.0	19	0.32	1.22	6.7	17.3
90.1	14	0.331	1.04	9.2	14.1
90.2	19	0.371	1.36	7.5	17.4
90.3	39	0.26	0.27	6.0	16.7
90.4	11	0.171	0.86	8.7	11.2
90.5	33	0.134	0.52	7.8	19.3
90.6	18	0.349	0.31	9.8	13.7
90.7	13	0.156	0.3	8.1	15.0
90.8	33	0.346	1.28	7.2	12.9
90.9	36	0.183	0.75	5.3	15.9
91.0	11	0.332	1.29	8.4	15.0
91.1	22	0.279	1.19	10.0	16.4
91.2	34	0.361	1.34	6.7	19.8
91.3	29	0.172	0.56	9.6	12.1
91.4	14	0.182	1.14	7.0	13.3
91.5	30	0.182	0.67	6.4	19.9
91.6	30	0.384	0.16	8.1	13.0
91.7	30	0.263	0.61	9.9	15.9
91.8	28	0.326	0.49	8.3	17.5
91.9	30	0.291	1.19	5.8	14.9
92.0	30	0.28	0.11	8.7	12.3
92.1	16	0.285	1.42	7.5	18.9
92.2	11	0.356	0.24	9.5	14.5
92.3	24	0.26	0.06	6.9	13.5
92.4	22	0.29	1.46	5.6	14.6
92.5	37	0.386	0.69	6.8	19.5
92.6	38	0.182	0.07	9.6	10.4
92.7	30	0.16	0.89	5.2	19.9
92.8	24	0.13	0.1	5.6	16.3
92.9	33	0.226	0.0	6.3	11.5
93.0	20	0.296	1.41	6.7	16.1
93.1	40	0.36	0.61	8.1	16.5
93.2	19	0.281	0.54	5.0	13.7
93.3	26	0.195	1.29	9.9	19.6
93.4	40	0.286	0.75	5.1	16.1
93.5	38	0.369	1.16	7.1	17.6
93.6	29	0.181	0.59	5.2	10.9
93.7	20	0.306	0.3	5.3	17.4
93.8	40	0.143	0.74	6.4	12.3
93.9	16	0.27	0.99	7.5	15.2
94.0	32	0.195	0.61	7.7	12.7
94.1	21	0.392	0.97	7.1	19.9
94.2	33	0.191	1.29	5.7	15.0
94.3	35	0.161	1.44	7.6	14.5
94.4	26	0.287	0.32	6.7	18.5
94.5	29	0.131	0.34	8.9	12.1
94.6	38	0.198	0.2	6.5	13.5
94.7	31	0.248	0.34	9.5	16.9
94.8	27	0.315	0.94	5.2	14.4
94.9	34	0.219	0.05	6.3	18.0
95.0	33	0.238	0.29	5.4	16.8
95.1	31	0.34	0.52	10.0	12.8
95.2	22	0.107	1.21	9.4	11.9
95.3	15	0.296	0.59	10.0	15.3
95.4	34	0.349	0.13	9.1	10.2
95.5	21	0.363	0.94	8.1	18.5
95.6	34	0.185	0.04	5.9	16.6
95.7	15	0.107	1.24	5.2	13.7
95.8	20	0.257	1.3	6.1	17.5
95.9	25	0.2	0.83	6.0	15.1
96.0	25	0.4	0.23	6.2	11.9
96.1	17	0.14	0.74	9.4	11.0
96.2	22	0.104	0.0	9.6	13.6
96.3	16	0.198	0.88	9.9	10.3
96.4	38	0.337	1.43	6.4	19.5
96.5	37	0.168	0.38	7.3	12.5
96.6	28	0.203	0.34	8.9	19.6
96.7	28	0.199	0.19	8.1	18.9
96.8	30	0.201	0.13	6.6	10.7
96.9	10	0.313	0.14	7.6	13.4
97.0	15	0.375	1.31	6.9	14.7
97.1	14	0.141	1.36	6.4	17.4
97.2	20	0.219	1.35	9.3	13.5
97.3	18	0.295	0.78	7.0	15.5
97.4	11	0.375	0.95	9.7	17.2
97.5	39	0.278	0.3	9.2	18.6
97.6	38	0.207	0.32	7.5	16.5
97.7	32	0.245	1.25	6.7	19.3
97.8	35	0.292	0.06	8.7	17.2
97.9	22	0.307	0.67	6.2	19.8
98.0	15	0.335	0.2	6.4	15.4
98.1	33	0.125	0.94	8.0	19.9
98.2	30	0.116	0.26	8.9	17.4
98.3	24	0.349	0.57	9.9	17.6
98.4	21	0.318	0.76	9.2	18.2
98.5	33	0.343	1.13	10.0	10.5
98.6	39	0.105	1.42	7.3	15.8
98.7	32	0.332	0.62	6.1	14.1
98.8	28	0.133	0.23	8.5	12.2
98.9	37	0.323	1.33	9.8	14.7
99.0	20	0.22	0.05	6.4	10.0
99.1	20	0.211	1.45	8.0	18.5
99.2	28	0.309	1.05	5.8	19.2
99.3	18	0.129	1.3	8.1	19.1
99.4	27	0.199	1.33	5.7	18.8
99.5	12	0.119	1.36	8.1	14.0
99.6	32	0.326	0.08	9.9	10.9
99.7	33	0.32	0.68	6.1	15.8
99.8	11	0.352	0.03	9.3	18.1
99.9	12	0.36	0.89	6.8	17.7
100.0	38	0.23	0.43	6.5	10.7
100.1	14	0.114	0.27	9.0	13.0
100.2	33	0.199	1.3	6.2	13.7
100.3	31	0.386	0.98	9.2	13.1
100.4	13	0.219	0.93	9.3	17.1
100.5	11	0.342	1.3	9.7	17.9
100.6	21	0.151	1.07	8.4	19.8
100.7	27	0.297	0.23	7.8	11.2
100.8	24	0.171	1.0	7.8	18.3
100.9	30	0.352	0.57	6.6	19.1
101.0	12	0.232	0.01	6.0	13.5
101.1	33	0.307	0.56	6.6	13.0
101.2	13	0.159	0.29	9.8	14.6
101.3	14	0.237	0.19	5.1	10.7
101.4	21	0.28	0.2	8.4	11.3
101.5	12	0.305	0.43	7.4	19.9
101.6	22	0.268	0.52	8.8	10.9
101.7	10	0.38	0.12	5.6	16.3
101.8	31	0.325	0.91	8.5	14.3
101.9	20	0.157	1.08	5.6	15.3
102.0	34	0.382	0.08	6.6	15.8
102.1	30	0.288	1.19	7.6	11.5
102.2	22	0.395	0.31	9.6	11.1
102.3	12	0.258	0.35	10.0	13.5
102.4	33	0.226	1.3	9.4	15.5
102.5	34	0.103	0.51	7.6	16.1
102.6	26	0.328	1.26	5.8	15.5
102.7	40	0.216	0.82	6.0	18.1
102.8	13	0.268	0.65	7.6	12.2
102.9	14	0.336	1.21	7.1	16.8
103.0	32	0.381	0.73	5.1	19.6
103.1	18	0.174	0.37	7.8	17.9
103.2	31	0.333	0.54	8.8	19.5
103.3	18	0.301	0.36	9.0	18.5
103.4	20	0.183	0.03	8.1	20.0
103.5	38	0.303	1.5	7.1	12.8
103.6	28	0.156	0.09	9.5	12.8
103.7	35	0.295	0.7	5.7	13.8
103.8	22	0.382	0.2	6.1	13.1
103.9	21	0.358	0.8	5.8	10.2
104.0	29	0.289	0.75	5.0	19.7
104.1	19	0.218	0.55	5.5	11.9
104.2	17	0.375	0.26	8.6	13.8
104.3	22	0.133	1.2	9.0	16.8
104.4	24	0.35	1.06	5.6	15.1
104.5	18	0.305	0.69	5.9	17.1
104.6	33	0.217	1.33	5.1	14.0
104.7	16	0.235	1.1	7.9	10.6
104.8	18	0.359	0.89	10.0	18.5
104.9	39	0.388	0.56	6.5	12.7
105.0	26	0.311	0.75	6.5	18.7
105.1	22	0.117	1.23	9.3	17.8
105.2	28	0.37	0.8	5.0	10.9
105.3	18	0.282	1.32	6.2	15.6
105.4	27	0.182	0.36	8.0	10.5
105.5	20	0.136	0.78	6.9	19.1
105.6	19	0.117	1.13	9.1	10.1
105.7	34	0.136	0.69	5.0	18.2
105.8	13	0.164	1.09	7.1	17.5
105.9	10	0.222	1.4	7.0	12.9
106.0	39	0.316	1.4	7.8	11.1
106.1	12	0.381	0.16	7.3	16.6
106.2	15	0.36	0.65	5.5	11.5
106.3	24	0.395	0.51	10.0	15.0
106.4	38	0.22	1.45	5.1	16.9
106.5	34	0.153	0.33	5.4	15.9
106.6	32	0.25	0.24	6.8	17.9
106.7	38	0.164	0.6	6.7	12.7
106.8	27	0.225	1.22	8.6	17.1
106.9	27	0.153	0.25	9.7	18.2
107.0	16	0.192	1.21	5.6	19.3
107.1	30	0.315	0.82	6.5	11.8
107.2	28	0.354	0.1	8.0	19.1
107.3	34	0.156	0.26	6.0	16.5
107.4	22	0.377	1.28	7.3	15.8
107.5	39	0.253	1.01	5.0	15.0
107.6	20	0.106	0.62	7.5	18.4
107.7	13	0.119	0.84	6.5	15.0
107.8	19	0.38	0.57	7.6	18.3
107.9	35	0.1	0.55	5.7	11.8
108.0	19	0.377	0.66	9.1	18.5
108.1	25	0.207	1.01	9.4	19.3
108.2	31	0.358	0.53	9.4	17.5
108.3	28	0.319	0.88	5.4	14.6
108.4	29	0.199	1.35	9.7	11.0
108.5	28	0.358	0.01	9.4	14.3
108.6	17	0.121	1.02	6.8	12.4
108.7	31	0.189	0.22	9.9	15.2
108.8	21	0.357	0.81	9.2	19.8
108.9	31	0.352	1.31	7.6	15.1
109.0	30	0.228	0.43	6.5	19.2
109.1	12	0.195	0.78	7.9	14.7
109.2	27	0.251	0.73	6.0	14.4
109.3	29	0.111	1.09	8.7	13.6
109.4	30	0.249	1.13	6.7	18.8
109.5	18	0.118	0.1	8.6	18.3
109.6	11	0.2	0.93	7.7	14.3
109.7	24	0.167	0.49	9.3	17.5
109.8	37	0.321	0.04	5.2	15.9
109.9	28	0.125	0.31	5.0	14.8
110.0	19	0.157	1.48	8.8	18.7
110.1	20	0.106	1.08	6.6	13.1
110.2	16	0.293	1.34	7.6	10.1
110.3	19	0.183	0.99	10.0	12.4
110.4	10	0.204	1.16	6.1	19.7
110.5	20	0.274	1.37	7.5	10.7
110.6	37	0.231	1.32	5.5	14.8
110.7	37	0.291	1.36	9.5	16.7
110.8	33	0.136	1.47	6.5	14.4
110.9	10	0.374	1.2	8.8	15.7
111.0	18	0.157	0.3	7.3	10.9
111.1	11	0.116	0.87	8.3	13.6
111.2	22	0.211	0.79	9.1	12.2
111.3	25	0.288	1.09	7.6	10.0
111.4	20	0.169	0.79	9.5	14.8
111.5	37	0.277	0.06	9.1	11.8
111.6	12	0.354	0.41	6.7	14.8
111.7	40	0.217	1.05	9.8	10.3
111.8	37	0.287	0.52	9.8	12.9
111.9	38	0.246	1.01	9.6	12.2
112.0	19	0.193	0.53	9.8	19.1
112.1	17	0.127	0.38	8.6	13.3
112.2	29	0.143	1.18	6.6	13.7
112.3	16	0.367	1.29	8.0	16.4
112.4	21	0.138	0.9	5.8	12.0
112.5	34	0.342	1.3	9.7	13.0
112.6	18	0.188	0.02	9.8	10.9
112.7	10	0.225	1.09	10.0	16.9
112.8	15	0.17	0.29	8.4	18.0
112.9	38	0.154	0.79	5.6	18.6
113.0	29	0.392	0.68	9.3	14.2
113.1	25	0.274	0.51	6.9	11.2
113.2	38	0.144	1.0	7.9	20.0
113.3	40	0.221	1.46	6.6	13.5
113.4	32	0.287	0.56	6.1	10.9
113.5	22	0.221	0.59	8.3	12.0
113.6	15	0.209	1.13	6.5	12.0
113.7	33	0.175	0.9	6.4	17.3
113.8	30	0.196	0.94	8.4	10.4
113.9	25	0.355	0.37	10.0	19.7
114.0	36	0.303	1.06	8.8	15.5
114.1	24	0.149	0.31	9.4	13.0
114.2	13	0.391	0.64	9.4	17.6
114.3	25	0.32	0.63	6.6	10.5
114.4	31	0.182	0.2	9.2	16.9
114.5	25	0.273	0.01	6.0	13.2
114.6	10	0.223	0.8	7.4	12.6
114.7	10	0.185	0.85	5.8	12.9
114.8	23	0.269	0.18	7.0	14.5
114.9	19	0.149	0.1	7.7	11.6
115.0	29	0.297	1.12	8.7	13.1
115.1	34	0.12	0.16	10.0	12.1
115.2	39	0.298	1.5	9.9	18.7
115.3	13	0.181	1.17	6.3	13.7
115.4	22	0.102	0.67	8.9	10.0
115.5	35	0.138	0.86	8.2	14.1
115.6	37	0.116	0.43	5.9	13.3
115.7	10	0.31	0.21	9.6	16.3
115.8	15	0.226	0.58	6.5	19.4
115.9	23	0.22	0.61	7.3	12.4
116.0	11	0.356	0.9	9.9	18.0
116.1	18	0.364	0.07	7.9	14.1
116.2	17	0.38	0.51	9.6	19.3
116.3	40	0.285	1.18	9.8	12.2
116.4	35	0.306	0.03	9.0	17.2
116.5	23	0.213	0.66	6.3	14.3
116.6	18	0.289	1.23	7.5	17.0
116.7	40	0.177	0.72	6.0	14.7
116.8	10	0.271	0.35	9.3	15.0
116.9	20	0.195	0.84	8.9	17.1
117.0	12	0.24	1.11	9.1	17.7
117.1	26	0.268	0.24	9.3	18.9
117.2	19	0.103	0.0	6.8	18.4
117.3	14	0.342	1.1	7.9	13.7
117.4	19	0.262	0.97	7.4	15.7
117.5	15	0.219	0.52	5.9	19.6
117.6	25	0.21	1.3	8.1	19.8
117.7	38	0.205	0.34	6.0	19.9
117.8	39	0.356	1.03	8.4	14.8
117.9	29	0.386	0.0	8.2	19.9
118.0	34	0.264	0.56	6.2	12.4
118.1	26	0.309	1.25	8.4	11.4
118.2	25	0.212	0.44	6.2	10.9
118.3	18	0.388	0.53	9.7	18.8
118.4	36	0.364	1.3	6.2	12.0
118.5	31	0.304	1.5	9.7	14.9
118.6	39	0.359	0.91	7.6	15.2
118.7	23	0.123	0.04	6.7	16.7
118.8	17	0.341	0.72	9.8	16.6
118.9	22	0.158	0.63	5.5	19.6
119.0	31	0.143	0.82	5.0	12.9
119.1	14	0.196	0.4	6.9	11.3
119.2	33	0.279	0.75	7.3	14.7
119.3	37	0.26	1.36	8.4	16.3
119.4	22	0.211	0.88	6.9	15.5
119.5	31	0.386	0.1	8.9	14.1
119.6	24	0.37	0.39	7.0	16.5
119.7	12	0.206	0.78	9.3	13.6
119.8	21	0.244	1.29	8.8	13.4
119.9	30	0.344	0.32	9.1	19.6
120.0	20	0.109	0.15	6.8	17.6
120.1	32	0.241	0.85	7.8	11.3
120.2	38	0.179	0.58	7.2	10.1
120.3	29	0.372	0.07	7.5	17.7
120.4	20	0.181	0.35	8.7	17.3
120.5	37	0.122	1.31	10.0	13.2
120.6	26	0.123	0.13	5.9	16.6
120.7	36	0.197	1.14	7.4	11.7
120.8	25	0.274	0.32	6.3	12.0
120.9	17	0.112	1.28	5.9	15.6
121.0	24	0.276	0.55	7.9	12.8
121.1	40	0.323	1.43	7.5	19.7
121.2	27	0.291	1.13	9.4	13.7
121.3	22	0.115	0.48	6.8	13.8
121.4	34	0.233	0.44	7.3	15.8
121.5	40	0.235	0.48	8.8	13.2
121.6	26	0.289	0.7	7.9	16.8
121.7	12	0.352	0.21	5.0	17.2
121.8	36	0.118	1.42	7.5	20.0
121.9	13	0.173	1.36	9.9	15.8
122.0	18	0.367	0.74	5.7	12.6
122.1	12	0.166	1.03	7.3	18.3
122.2	24	0.331	0.28	9.4	15.7
122.3	33	0.277	1.34	9.2	15.2
122.4	18	0.332	0.42	6.9	16.7
122.5	27	0.238	1.5	6.6	19.3
122.6	26	0.117	0.44	5.3	18.2
122.7	11	0.271	0.9	9.0	19.0
122.8	22	0.16	0.99	6.5	17.9
122.9	32	0.208	1.0	8.7	13.0
123.0	34	0.248	0.2	9.3	13.5
123.1	39	0.237	1.33	9.9	16.8
123.2	22	0.34	0.27	8.4	17.9
123.3	16	0.301	1.29	7.3	19.6
123.4	37	0.129	0.02	6.2	18.3
123.5	22	0.164	0.15	8.3	16.3
123.6	29	0.238	0.62	5.3	10.8
123.7	36	0.226	0.69	7.7	13.4
123.8	12	0.21	0.53	5.7	14.3
123.9	19	0.197	1.06	7.4	11.6
124.0	10	0.166	0.67	7.0	15.8
124.1	12	0.37	1.47	6.7	18.5
124.2	19	0.154	0.71	8.6	19.8
124.3	37	0.359	0.19	6.3	13.5
124.4	24	0.207	1.15	8.5	16.2
124.5	16	0.136	0.42	7.9	11.4
124.6	35	0.119	1.41	6.9	16.0
124.7	36	0.329	0.52	6.7	16.1
124.8	12	0.196	1.05	8.3	14.2
124.9	15	0.116	0.22	9.8	12.5
125.0	11	0.396	1.32	5.0	19.7
125.1	30	0.326	1.03	5.4	17.0
125.2	27	0.138	0.22	7.6	11.6
125.3	27	0.134	0.7	8.5	18.2
125.4	31	0.343	1.42	9.6	13.2
125.5	16	0.143	0.98	9.1	13.8
125.6	17	0.283	1.05	7.2	19.1
125.7	24	0.153	0.48	9.1	13.6
125.8	18	0.365	0.43	7.6	17.5
125.9	24	0.383	1.2	5.4	12.9
126.0	28	0.157	1.39	6.4	16.6
126.1	25	0.12	0.37	7.9	14.4
126.2	12	0.17	0.75	6.4	10.8
126.3	27	0.129	0.97	7.9	14.4
